aircraftType_iataMain;aircraftType_iataSub;route;codeshares;flightStates;eu;visa;flightDirection;flightName;flightNumber;gate;pier;id;isOperationalFlight;mainFlight;prefixIATA;prefixICAO;airlineCode;aircraftRegistration;serviceType;terminal;estimatedLandingTime;lastUpdatedAt;actualLandingTime;scheduleDateTime;actualOffBlockTime;expectedTimeBoarding;expectedTimeGateClosing;expectedTimeGateOpen;expectedTimeOnBelt;expectedSecurityFilter;publicEstimatedOffBlockTime
32S;32Q;LPA;KL2573;ARR,EXP;S;False;A;HV5666;5666;;;143526936641420952;True;HV5666;HV;TRA;164.0;;J;3.0;2025-10-28 23:49:04+00:00;2025-10-29 01:32:08.328000+00:00;2025-10-28 23:48:31+00:00;2025-10-28 23:35:00+00:00;;;;;2025-10-29 00:51:26.434000+00:00;;
32S;32Q;LPA;KL2573;ARR,EXP;S;False;A;KL2573;2573;;;143526937019694886;True;HV5666;KL;KLM;100.0;;J;3.0;2025-10-28 23:49:04+00:00;2025-10-29 01:32:08.328000+00:00;2025-10-28 23:48:31+00:00;2025-10-28 23:35:00+00:00;;;;;2025-10-29 00:51:26.434000+00:00;;
737;73H;TFS;KL2591;ARR,EXP;S;False;A;HV6672;6672;;;143526936641522324;True;HV6672;HV;TRA;164.0;;J;3.0;2025-10-28 23:44:58+00:00;2025-10-29 02:25:40.095000+00:00;2025-10-28 23:44:32+00:00;2025-10-29 00:05:00+00:00;;;;;2025-10-29 00:25:40.708000+00:00;;
737;73H;TFS;KL2591;ARR,EXP;S;False;A;KL2591;2591;;;143526937019695030;True;HV6672;KL;KLM;100.0;;J;3.0;2025-10-28 23:44:58+00:00;2025-10-29 02:25:40.095000+00:00;2025-10-28 23:44:32+00:00;2025-10-29 00:05:00+00:00;;;;;2025-10-29 00:25:40.708000+00:00;;
737;7M8;AYT;;ARR,EXP;N;False;A;OR3026;3026;;;143526937597023726;True;OR3026;OR;TFL;231.0;;J;4.0;2025-10-29 02:30:01+00:00;2025-10-29 05:10:46.163000+00:00;2025-10-29 02:29:59+00:00;2025-10-29 01:10:00+00:00;;;;;2025-10-29 03:02:46.725000+00:00;;
74F;74N;NRT,ANC;;LND,EXP;N;False;A;KZ004;4;;;143526935490061386;True;KZ004;KZ;NCA;131.0;;F;;2025-10-29 02:06:46+00:00;2025-10-29 02:21:43.902000+00:00;2025-10-29 02:06:38+00:00;2025-10-29 02:40:00+00:00;;;;;;;
737;73H;RAK;KL2625;DEP,DEL;N;False;D;HV5753;5753;D5;D;143526936641423611;True;HV5753;HV;TRA;164.0;PHHBJ;J;1.0;;2025-10-29 05:49:37.291000+00:00;;2025-10-29 03:25:00+00:00;2025-10-29 05:37:11+00:00;;;;;;2025-10-29 05:30:00+00:00
737;73H;RAK;KL2625;DEP,DEL;N;False;D;KL2625;2625;D5;D;143526937019697259;True;HV5753;KL;KLM;100.0;PHHBJ;J;1.0;;2025-10-29 05:49:37.291000+00:00;;2025-10-29 03:25:00+00:00;2025-10-29 05:37:11+00:00;;;;;;2025-10-29 05:30:00+00:00
76F;76Y;LEJ;;LND,EXP;S;False;A;QY1446;1446;;;143526937900446296;True;QY1446;QY;BCS;289.0;;F;;2025-10-29 03:53:54+00:00;2025-10-29 04:09:02.828000+00:00;2025-10-29 03:53:47+00:00;2025-10-29 04:15:00+00:00;;;;;;;
787;789;ICN;AF3112,KE5925;ARR,EXP;N;False;A;AF3112;3112;;;143526935610415722;True;KL0856;AF;AFR;80.0;;J;3.0;2025-10-29 03:58:38+00:00;2025-10-29 06:39:58.152000+00:00;2025-10-29 03:58:12+00:00;2025-10-29 04:20:00+00:00;;;;;2025-10-29 04:39:58.708000+00:00;;
77F;77X;PVG;;LND;N;False;A;CZ451;451;;;143526935460086126;True;CZ451;CZ;CSN;43.0;;F;;2025-10-29 04:29:01+00:00;2025-10-29 04:47:03.808000+00:00;2025-10-29 04:29:02+00:00;2025-10-29 04:20:00+00:00;;;;;;;
73F;73K;CDG;;LND;S;False;A;FX4235;4235;;;143526936371429286;True;FX4235;FX;FDX;5326.0;;F;;2025-10-29 04:19:21+00:00;2025-10-29 04:33:56.797000+00:00;2025-10-29 04:19:32+00:00;2025-10-29 04:20:00+00:00;;;;;;;
787;789;ICN;AF3112,KE5925;ARR,EXP;N;False;A;KE5925;5925;;;143526936993771136;True;KL0856;KE;KAL;105.0;;J;3.0;2025-10-29 03:58:38+00:00;2025-10-29 06:39:58.152000+00:00;2025-10-29 03:58:12+00:00;2025-10-29 04:20:00+00:00;;;;;2025-10-29 04:39:58.708000+00:00;;
787;789;ICN;AF3112,KE5925;ARR,EXP;N;False;A;KL0856;856;;;143526937019500346;True;KL0856;KL;KLM;100.0;;J;3.0;2025-10-29 03:58:38+00:00;2025-10-29 06:39:58.152000+00:00;2025-10-29 03:58:12+00:00;2025-10-29 04:20:00+00:00;;;;;2025-10-29 04:39:58.708000+00:00;;
777;77W;ACC;AF8248,DL9373;ARR;N;False;A;AF8248;8248;;;143526935610925224;True;KL0590;AF;AFR;80.0;;J;3.0;2025-10-29 04:47:41+00:00;2025-10-29 06:52:36.109000+00:00;2025-10-29 04:47:31+00:00;2025-10-29 04:45:00+00:00;;;;;2025-10-29 06:15:04.354000+00:00;;
777;77W;ACC;AF8248,DL9373;ARR;N;False;A;DL9373;9373;;;143526936049583154;True;KL0590;DL;DAL;58.0;;J;3.0;2025-10-29 04:47:41+00:00;2025-10-29 06:52:36.109000+00:00;2025-10-29 04:47:31+00:00;2025-10-29 04:45:00+00:00;;;;;2025-10-29 06:15:04.354000+00:00;;
777;77W;ACC;AF8248,DL9373;ARR;N;False;A;KL0590;590;;;143526937019492416;True;KL0590;KL;KLM;100.0;;J;3.0;2025-10-29 04:47:41+00:00;2025-10-29 06:52:36.109000+00:00;2025-10-29 04:47:31+00:00;2025-10-29 04:45:00+00:00;;;;;2025-10-29 06:15:04.354000+00:00;;
330;332;LOS;AF5479,DL9507;ARR;N;False;A;AF5479;5479;;;143526935610627006;True;KL0588;AF;AFR;80.0;;J;3.0;2025-10-29 04:46:15+00:00;2025-10-29 07:25:55.145000+00:00;2025-10-29 04:45:31+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:21:55.704000+00:00;;
330;339;JFK;AF5591,KL6070,VS3928;ARR,EXP;N;False;A;AF5591;5591;;;143526935610629876;True;DL0046;AF;AFR;80.0;;J;2.0;2025-10-29 04:43:02+00:00;2025-10-29 07:25:45.124000+00:00;2025-10-29 04:42:43+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:20:45.708000+00:00;;
787;781;ATL;AF6695,DL9667,VS7113;ARR,EXP;N;False;A;AF6695;6695;;;143526935610733928;True;KL0624;AF;AFR;80.0;;J;2.0;2025-10-29 04:33:05+00:00;2025-10-29 07:15:38.103000+00:00;2025-10-29 04:33:33+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:10:38.715000+00:00;;
330;339;JFK;AF5591,KL6070,VS3928;ARR,EXP;N;False;A;DL0046;46;;;143526936048662970;True;DL0046;DL;DAL;58.0;;J;2.0;2025-10-29 04:43:02+00:00;2025-10-29 07:25:45.124000+00:00;2025-10-29 04:42:43+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:20:45.708000+00:00;;
330;332;LOS;AF5479,DL9507;ARR;N;False;A;DL9507;9507;;;143526936049588120;True;KL0588;DL;DAL;58.0;;J;3.0;2025-10-29 04:46:15+00:00;2025-10-29 07:25:55.145000+00:00;2025-10-29 04:45:31+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:21:55.704000+00:00;;
787;781;ATL;AF6695,DL9667,VS7113;ARR,EXP;N;False;A;DL9667;9667;;;143526936049591302;True;KL0624;DL;DAL;58.0;;J;2.0;2025-10-29 04:33:05+00:00;2025-10-29 07:15:38.103000+00:00;2025-10-29 04:33:33+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:10:38.715000+00:00;;
330;332;LOS;AF5479,DL9507;ARR;N;False;A;KL0588;588;;;143526937019492358;True;KL0588;KL;KLM;100.0;;J;3.0;2025-10-29 04:46:15+00:00;2025-10-29 07:25:55.145000+00:00;2025-10-29 04:45:31+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:21:55.704000+00:00;;
787;781;ATL;AF6695,DL9667,VS7113;ARR,EXP;N;False;A;KL0624;624;;;143526937019494644;True;KL0624;KL;KLM;100.0;;J;2.0;2025-10-29 04:33:05+00:00;2025-10-29 07:15:38.103000+00:00;2025-10-29 04:33:33+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:10:38.715000+00:00;;
330;339;JFK;AF5591,KL6070,VS3928;ARR,EXP;N;False;A;KL6070;6070;;;143526937020086414;True;DL0046;KL;KLM;100.0;;J;2.0;2025-10-29 04:43:02+00:00;2025-10-29 07:25:45.124000+00:00;2025-10-29 04:42:43+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:20:45.708000+00:00;;
330;339;JFK;AF5591,KL6070,VS3928;ARR,EXP;N;False;A;VS3928;3928;;;143526938571612092;True;DL0046;VS;VIR;181.0;;J;2.0;2025-10-29 04:43:02+00:00;2025-10-29 07:25:45.124000+00:00;2025-10-29 04:42:43+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:20:45.708000+00:00;;
787;781;ATL;AF6695,DL9667,VS7113;ARR,EXP;N;False;A;VS7113;7113;;;143526938571995328;True;KL0624;VS;VIR;181.0;;J;2.0;2025-10-29 04:33:05+00:00;2025-10-29 07:15:38.103000+00:00;2025-10-29 04:33:33+00:00;2025-10-29 04:55:00+00:00;;;;;2025-10-29 05:10:38.715000+00:00;;
330;333;DTW;AF5606,KL6018,VS3929;ARR,EXP;N;False;A;AF5606;5606;;;143526935610631958;True;DL0132;AF;AFR;80.0;;J;2.0;2025-10-29 04:36:28+00:00;2025-10-29 07:18:51.098000+00:00;2025-10-29 04:36:34+00:00;2025-10-29 05:00:00+00:00;;;;;2025-10-29 05:18:51.759000+00:00;;
330;333;DTW;AF5606,KL6018,VS3929;ARR,EXP;N;False;A;DL0132;132;;;143526936048665626;True;DL0132;DL;DAL;58.0;;J;2.0;2025-10-29 04:36:28+00:00;2025-10-29 07:18:51.098000+00:00;2025-10-29 04:36:34+00:00;2025-10-29 05:00:00+00:00;;;;;2025-10-29 05:18:51.759000+00:00;;
777;77W;PBM;;ARR,EXP;N;False;A;KL0714;714;;;143526937019497308;True;KL0714;KL;KLM;100.0;;J;4.0;2025-10-29 04:40:43+00:00;2025-10-29 06:30:06.116000+00:00;2025-10-29 04:40:31+00:00;2025-10-29 05:00:00+00:00;;;;;2025-10-29 06:01:07.501000+00:00;;
330;333;DTW;AF5606,KL6018,VS3929;ARR,EXP;N;False;A;KL6018;6018;;;143526937020085986;True;DL0132;KL;KLM;100.0;;J;2.0;2025-10-29 04:36:28+00:00;2025-10-29 07:18:51.098000+00:00;2025-10-29 04:36:34+00:00;2025-10-29 05:00:00+00:00;;;;;2025-10-29 05:18:51.759000+00:00;;
330;333;DTW;AF5606,KL6018,VS3929;ARR,EXP;N;False;A;VS3929;3929;;;143526938571612094;True;DL0132;VS;VIR;181.0;;J;2.0;2025-10-29 04:36:28+00:00;2025-10-29 07:18:51.098000+00:00;2025-10-29 04:36:34+00:00;2025-10-29 05:00:00+00:00;;;;;2025-10-29 05:18:51.759000+00:00;;
787;789;CGK,KUL;AF8398,GA9088,MH5632;ARR;N;False;A;AF8398;8398;;;143526935610928332;True;KL0810;AF;AFR;80.0;;J;3.0;2025-10-29 05:04:40+00:00;2025-10-29 06:54:10.105000+00:00;2025-10-29 05:04:22+00:00;2025-10-29 05:10:00+00:00;;;;;2025-10-29 06:10:55.965000+00:00;;
787;789;CGK,KUL;AF8398,GA9088,MH5632;ARR;N;False;A;GA9088;9088;;;143526936424407224;True;KL0810;GA;GIA;85.0;;J;3.0;2025-10-29 05:04:40+00:00;2025-10-29 06:54:10.105000+00:00;2025-10-29 05:04:22+00:00;2025-10-29 05:10:00+00:00;;;;;2025-10-29 06:10:55.965000+00:00;;
787;789;CGK,KUL;AF8398,GA9088,MH5632;ARR;N;False;A;KL0810;810;;;143526937019500038;True;KL0810;KL;KLM;100.0;;J;3.0;2025-10-29 05:04:40+00:00;2025-10-29 06:54:10.105000+00:00;2025-10-29 05:04:22+00:00;2025-10-29 05:10:00+00:00;;;;;2025-10-29 06:10:55.965000+00:00;;
787;789;CGK,KUL;AF8398,GA9088,MH5632;ARR;N;False;A;MH5632;5632;;;143526937282383784;True;KL0810;MH;MAS;5065.0;;J;3.0;2025-10-29 05:04:40+00:00;2025-10-29 06:54:10.105000+00:00;2025-10-29 05:04:22+00:00;2025-10-29 05:10:00+00:00;;;;;2025-10-29 06:10:55.965000+00:00;;
787;789;GRU;AF3167,G35623,SK6851;ARR,EXP;N;False;A;AF3167;3167;;;143526935610416102;True;KL0794;AF;AFR;80.0;;J;3.0;2025-10-29 04:50:25+00:00;2025-10-29 07:29:46.177000+00:00;2025-10-29 04:49:55+00:00;2025-10-29 05:20:00+00:00;;;;;2025-10-29 05:24:46.718000+00:00;;
787;789;GRU;AF3167,G35623,SK6851;ARR,EXP;N;False;A;G35623;5623;;;143526936532719312;True;KL0794;G3;GLO;4918.0;;J;3.0;2025-10-29 04:50:25+00:00;2025-10-29 07:29:46.177000+00:00;2025-10-29 04:49:55+00:00;2025-10-29 05:20:00+00:00;;;;;2025-10-29 05:24:46.718000+00:00;;
787;789;GRU;AF3167,G35623,SK6851;ARR,EXP;N;False;A;KL0794;794;;;143526937019497900;True;KL0794;KL;KLM;100.0;;J;3.0;2025-10-29 04:50:25+00:00;2025-10-29 07:29:46.177000+00:00;2025-10-29 04:49:55+00:00;2025-10-29 05:20:00+00:00;;;;;2025-10-29 05:24:46.718000+00:00;;
787;789;GRU;AF3167,G35623,SK6851;ARR,EXP;N;False;A;SK6851;6851;;;143526938125863162;True;KL0794;SK;SAS;150.0;;J;3.0;2025-10-29 04:50:25+00:00;2025-10-29 07:29:46.177000+00:00;2025-10-29 04:49:55+00:00;2025-10-29 05:20:00+00:00;;;;;2025-10-29 05:24:46.718000+00:00;;
32S;32Q;FNC;KL2697;DEP;S;False;D;HV6629;6629;C7;C;143526936641521969;True;HV6629;HV;TRA;164.0;PHYHX;J;1.0;;2025-10-29 05:41:26.925000+00:00;;2025-10-29 05:25:00+00:00;2025-10-29 05:32:02+00:00;;;;;;
32S;32Q;FNC;KL2697;DEP;S;False;D;KL2697;2697;C7;C;143526937019697781;True;HV6629;KL;KLM;100.0;PHYHX;J;1.0;;2025-10-29 05:41:26.925000+00:00;;2025-10-29 05:25:00+00:00;2025-10-29 05:32:02+00:00;;;;;;
350;351;HKG;;ARR;N;False;A;CX271;271;;;143526935459878186;True;CX271;CX;CPA;4826.0;;J;4.0;2025-10-29 05:32:05+00:00;2025-10-29 07:16:35.640000+00:00;2025-10-29 05:31:30+00:00;2025-10-29 05:30:00+00:00;;;;;2025-10-29 06:33:22.745000+00:00;;
737;73H;DXB;;DEP;N;False;D;HV6901;6901;E4;E;143526936641530019;True;HV6901;HV;TRA;164.0;PHHXG;J;1.0;;2025-10-29 05:54:34.928000+00:00;;2025-10-29 05:30:00+00:00;2025-10-29 05:44:28+00:00;;;;;;
737;73H;GRX;;DEP;S;False;D;HV5931;5931;D71;D;143526936641428935;True;HV5931;HV;TRA;164.0;PHHXE;J;1.0;;2025-10-29 05:46:37.186000+00:00;;2025-10-29 05:35:00+00:00;2025-10-29 05:35:59+00:00;;;;;;
32S;32Q;VLC;KL2659;DEP;S;False;D;HV6331;6331;C5;C;143526936641513813;True;HV6331;HV;TRA;164.0;PHYHD;J;1.0;;2025-10-29 05:30:20.464000+00:00;;2025-10-29 05:35:00+00:00;2025-10-29 05:20:34+00:00;;;;;;
32S;32Q;HER;;DEP;S;False;D;HV6873;6873;D60;D;143526936641527803;True;HV6873;HV;TRA;164.0;PHYHZ;J;1.0;;2025-10-29 05:36:16.804000+00:00;;2025-10-29 05:35:00+00:00;2025-10-29 05:26:07+00:00;;;;;;
32S;32Q;VLC;KL2659;DEP;S;False;D;KL2659;2659;C5;C;143526937019697489;True;HV6331;KL;KLM;100.0;PHYHD;J;1.0;;2025-10-29 05:30:20.464000+00:00;;2025-10-29 05:35:00+00:00;2025-10-29 05:20:34+00:00;;;;;;
32S;32Q;AGP;KL2649;DEP;S;False;D;HV6115;6115;C14;C;143526936641508197;True;HV6115;HV;TRA;164.0;PHYHS;J;1.0;;2025-10-29 05:52:33.399000+00:00;;2025-10-29 05:40:00+00:00;2025-10-29 05:42:58+00:00;;;;;;
32S;32Q;AGP;KL2649;DEP;S;False;D;KL2649;2649;C14;C;143526937019697415;True;HV6115;KL;KLM;100.0;PHYHS;J;1.0;;2025-10-29 05:52:33.399000+00:00;;2025-10-29 05:40:00+00:00;2025-10-29 05:42:58+00:00;;;;;;
32S;32Q;ATH;;DEP;S;False;D;HV6867;6867;C12;C;143526936641527737;True;HV6867;HV;TRA;164.0;PHYHE;J;1.0;;2025-10-29 05:56:49.010000+00:00;;2025-10-29 05:45:00+00:00;2025-10-29 05:48:00+00:00;;;;;;
350;359;SIN;;ARR,EXP;N;False;A;SQ324;324;;;143526935519144570;True;SQ324;SQ;SIA;152.0;;J;3.0;2025-10-29 06:03:27+00:00;2025-10-29 08:44:20.112000+00:00;2025-10-29 06:02:54+00:00;2025-10-29 05:45:00+00:00;;;;;2025-10-29 06:40:20.726000+00:00;;
787;781;JFK;AF6715,DL9357,VS7126;ARR,EXP;N;False;A;AF6715;6715;;;143526935610736074;True;KL0642;AF;AFR;80.0;;J;2.0;2025-10-29 05:34:41+00:00;2025-10-29 07:23:04.124000+00:00;2025-10-29 05:33:54+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:54:00.980000+00:00;;
787;789;DXB;AF8422,DL9501,SK6857;ARR,EXP;N;False;A;AF8422;8422;;;143526935610930540;True;KL0428;AF;AFR;80.0;;J;2.0;2025-10-29 05:36:51+00:00;2025-10-29 07:20:51.076000+00:00;2025-10-29 05:37:10+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:40:10.364000+00:00;;
330;333;MSP;AF8975,KL6064,VS3934;ARR,EXP;N;False;A;AF8975;8975;;;143526935610944606;True;DL0160;AF;AFR;80.0;;J;2.0;2025-10-29 05:24:08+00:00;2025-10-29 06:58:39.143000+00:00;2025-10-29 05:24:00+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:25:24.849000+00:00;;
330;333;MSP;AF8975,KL6064,VS3934;ARR,EXP;N;False;A;DL0160;160;;;143526936048665844;True;DL0160;DL;DAL;58.0;;J;2.0;2025-10-29 05:24:08+00:00;2025-10-29 06:58:39.143000+00:00;2025-10-29 05:24:00+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:25:24.849000+00:00;;
787;781;JFK;AF6715,DL9357,VS7126;ARR,EXP;N;False;A;DL9357;9357;;;143526936049583014;True;KL0642;DL;DAL;58.0;;J;2.0;2025-10-29 05:34:41+00:00;2025-10-29 07:23:04.124000+00:00;2025-10-29 05:33:54+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:54:00.980000+00:00;;
787;789;DXB;AF8422,DL9501,SK6857;ARR,EXP;N;False;A;DL9501;9501;;;143526936049588108;True;KL0428;DL;DAL;58.0;;J;2.0;2025-10-29 05:36:51+00:00;2025-10-29 07:20:51.076000+00:00;2025-10-29 05:37:10+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:40:10.364000+00:00;;
EMJ;E90;OSL;DL9593,KE6431,MF9704,SK6683;DEP;S;False;D;DL9593;9593;B6;B;143526936049588779;True;KL1197;DL;DAL;58.0;PHEZN;J;1.0;;2025-10-29 05:58:04.467000+00:00;;2025-10-29 05:50:00+00:00;2025-10-29 05:50:16+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:35:00+00:00;2025-10-29 05:20:00+00:00;;;
32S;32Q;ALC;KL2641;DEP;S;False;D;HV6143;6143;C16;C;143526936641508415;True;HV6143;HV;TRA;164.0;PHYHY;J;1.0;;2025-10-29 06:03:27.308000+00:00;;2025-10-29 05:50:00+00:00;2025-10-29 05:53:19+00:00;;;;;;
EMJ;E90;OSL;DL9593,KE6431,MF9704,SK6683;DEP;S;False;D;KE6431;6431;B6;B;143526936993858819;True;KL1197;KE;KAL;105.0;PHEZN;J;1.0;;2025-10-29 05:58:04.467000+00:00;;2025-10-29 05:50:00+00:00;2025-10-29 05:50:16+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:35:00+00:00;2025-10-29 05:20:00+00:00;;;
787;789;DXB;AF8422,DL9501,SK6857;ARR,EXP;N;False;A;KL0428;428;;;143526937019489176;True;KL0428;KL;KLM;100.0;;J;2.0;2025-10-29 05:36:51+00:00;2025-10-29 07:20:51.076000+00:00;2025-10-29 05:37:10+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:40:10.364000+00:00;;
787;781;JFK;AF6715,DL9357,VS7126;ARR,EXP;N;False;A;KL0642;642;;;143526937019494788;True;KL0642;KL;KLM;100.0;;J;2.0;2025-10-29 05:34:41+00:00;2025-10-29 07:23:04.124000+00:00;2025-10-29 05:33:54+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:54:00.980000+00:00;;
EMJ;E90;OSL;DL9593,KE6431,MF9704,SK6683;DEP;S;False;D;KL1197;1197;B6;B;143526937019582785;True;KL1197;KL;KLM;100.0;PHEZN;J;1.0;;2025-10-29 05:58:04.467000+00:00;;2025-10-29 05:50:00+00:00;2025-10-29 05:50:16+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:35:00+00:00;2025-10-29 05:20:00+00:00;;;
32S;32Q;ALC;KL2641;DEP;S;False;D;KL2641;2641;C16;C;143526937019697399;True;HV6143;KL;KLM;100.0;PHYHY;J;1.0;;2025-10-29 06:03:27.308000+00:00;;2025-10-29 05:50:00+00:00;2025-10-29 05:53:19+00:00;;;;;;
330;333;MSP;AF8975,KL6064,VS3934;ARR,EXP;N;False;A;KL6064;6064;;;143526937020086348;True;DL0160;KL;KLM;100.0;;J;2.0;2025-10-29 05:24:08+00:00;2025-10-29 06:58:39.143000+00:00;2025-10-29 05:24:00+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:25:24.849000+00:00;;
EMJ;E90;OSL;DL9593,KE6431,MF9704,SK6683;DEP;S;False;D;MF9704;9704;B6;B;143526937275294885;True;KL1197;MF;CXA;1551.0;PHEZN;J;1.0;;2025-10-29 05:58:04.467000+00:00;;2025-10-29 05:50:00+00:00;2025-10-29 05:50:16+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:35:00+00:00;2025-10-29 05:20:00+00:00;;;
EMJ;E90;OSL;DL9593,KE6431,MF9704,SK6683;DEP;S;False;D;SK6683;6683;B6;B;143526938125857913;True;KL1197;SK;SAS;150.0;PHEZN;J;1.0;;2025-10-29 05:58:04.467000+00:00;;2025-10-29 05:50:00+00:00;2025-10-29 05:50:16+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:35:00+00:00;2025-10-29 05:20:00+00:00;;;
787;789;DXB;AF8422,DL9501,SK6857;ARR,EXP;N;False;A;SK6857;6857;;;143526938125863174;True;KL0428;SK;SAS;150.0;;J;2.0;2025-10-29 05:36:51+00:00;2025-10-29 07:20:51.076000+00:00;2025-10-29 05:37:10+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:40:10.364000+00:00;;
330;333;MSP;AF8975,KL6064,VS3934;ARR,EXP;N;False;A;VS3934;3934;;;143526938571612158;True;DL0160;VS;VIR;181.0;;J;2.0;2025-10-29 05:24:08+00:00;2025-10-29 06:58:39.143000+00:00;2025-10-29 05:24:00+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:25:24.849000+00:00;;
787;781;JFK;AF6715,DL9357,VS7126;ARR,EXP;N;False;A;VS7126;7126;;;143526938571995408;True;KL0642;VS;VIR;181.0;;J;2.0;2025-10-29 05:34:41+00:00;2025-10-29 07:23:04.124000+00:00;2025-10-29 05:33:54+00:00;2025-10-29 05:50:00+00:00;;;;;2025-10-29 06:54:00.980000+00:00;;
EMJ;E7W;BRU;DL9606,MF9353,MU1833,6E3218;DEP;S;False;D;6E3218;3218;B16;B;143526940044683399;True;KL1701;6E;IGO;5300.0;PHEXG;J;1.0;;2025-10-29 06:01:38.549000+00:00;;2025-10-29 05:55:00+00:00;2025-10-29 05:53:22+00:00;2025-10-29 05:30:00+00:00;2025-10-29 05:40:00+00:00;2025-10-29 05:25:00+00:00;;;
737;73H;CDG;AF8373,DL9205,MU1555,VN3107,6E3221;DEP;S;False;D;6E3221;3221;D78;D;143526940044683459;True;KL1401;6E;IGO;5300.0;PHBXY;J;1.0;;2025-10-29 06:12:44.646000+00:00;;2025-10-29 05:55:00+00:00;2025-10-29 06:02:23+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:40:00+00:00;2025-10-29 04:55:00+00:00;;;
737;73H;CDG;AF8373,DL9205,MU1555,VN3107,6E3221;DEP;S;False;D;AF8373;8373;D78;D;143526935610928175;True;KL1401;AF;AFR;80.0;PHBXY;J;1.0;;2025-10-29 06:12:44.646000+00:00;;2025-10-29 05:55:00+00:00;2025-10-29 06:02:23+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:40:00+00:00;2025-10-29 04:55:00+00:00;;;
EMJ;295;ARN;DL9183,KE6419,MF9308,MU1799,SK6639;DEP;S;False;D;DL9183;9183;B36;B;143526936049577753;True;KL1215;DL;DAL;58.0;PHNXS;J;1.0;;2025-10-29 06:07:00.982000+00:00;;2025-10-29 05:55:00+00:00;2025-10-29 06:01:08+00:00;2025-10-29 05:30:00+00:00;2025-10-29 05:40:00+00:00;2025-10-29 05:25:00+00:00;;;
737;73H;CDG;AF8373,DL9205,MU1555,VN3107,6E3221;DEP;S;False;D;DL9205;9205;D78;D;143526936049579903;True;KL1401;DL;DAL;58.0;PHBXY;J;1.0;;2025-10-29 06:12:44.646000+00:00;;2025-10-29 05:55:00+00:00;2025-10-29 06:02:23+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:40:00+00:00;2025-10-29 04:55:00+00:00;;;
EMJ;E7W;HAM;DL9327,KE6435,MU1605;DEP;S;False;D;DL9327;9327;B7;B;143526936049582793;True;KL1751;DL;DAL;58.0;PHEXW;J;1.0;;2025-10-29 06:13:35.023000+00:00;;2025-10-29 05:55:00+00:00;2025-10-29 06:04:20+00:00;2025-10-29 05:30:00+00:00;2025-10-29 05:40:00+00:00;2025-10-29 05:25:00+00:00;;;
737;73W;ZRH;DL9432,MF9724,MU1781;DEP;S;False;D;DL9432;9432;D82;D;143526936049585595;True;KL1917;DL;DAL;58.0;PHBGH;J;1.0;;2025-10-29 06:05:11.481000+00:00;;2025-10-29 05:55:00+00:00;2025-10-29 05:55:28+00:00;2025-10-29 05:25:00+00:00;2025-10-29 05:40:00+00:00;2025-10-29 04:55:00+00:00;;;
EMJ;E90;PRG;DL9532;DEP;S;False;D;DL9532;9532;B3;B;143526936049588333;True;KL1351;DL;DAL;58.0;DACJJ;J;1.0;;2025-10-29 06:12:31.581000+00:00;;2025-10-29 05:55:00+00:00;2025-10-29 05:57:13+00:00;2025-10-29 05:30:00+00:00;2025-10-29 05:40:00+00:00;2025-10-29 05:25:00+00:00;;;
